18S	BACXYRead1	98.026	1824	8	25	1	1808	13403	11592	0.0	3144
18S	BACXYRead1	95.902	1830	27	37	1	1808	3015	1212	0.0	2920
18S	BACXYRead2	97.960	1814	10	23	1	1808	56905	55113	0.0	3120
18S	BACXYRead2	97.687	1816	13	22	1	1808	76239	74445	0.0	3094
18S	BACXYRead2	96.497	1827	19	34	1	1808	20537	18737	0.0	2977
18S	BACXYRead2	96.389	1828	21	34	1	1808	86626	84824	0.0	2968
18S	BACXYRead2	96.276	1826	20	41	7	1808	11543	9742	0.0	2952
18S	BACXYRead2	96.372	1819	17	39	1	1808	47837	46057	0.0	2948
18S	BACXYRead2	96.068	1831	24	38	1	1808	29539	27734	0.0	2939
18S	BACXYRead2	95.655	1818	34	40	1	1808	96977	95195	0.0	2878

