pBeloBAC11_KanR	BAC43R75552	91.652	8900	304	332	1	8761	97247	105846	0.0	11913
pBeloBAC11_KanR	BAC43R75552	90.431	418	27	9	7265	7677	104400	104809	1.22e-149	538
pBeloBAC11_KanR	BAC43R75552	89.401	434	30	12	7294	7720	104342	104766	5.68e-148	532
pBeloBAC11_KanR	BAC43R75552	89.203	389	29	9	7250	7633	104428	104808	3.49e-130	473
pBeloBAC11_KanR	BAC43R75552	89.003	391	30	10	7336	7719	104341	104725	1.25e-129	472
pBeloBAC11_KanR	BAC43R75552	90.202	347	24	8	7379	7719	104341	104683	2.74e-121	444
pBeloBAC11_KanR	BAC43R75552	90.435	345	21	8	7250	7590	104472	104808	2.74e-121	444
pBeloBAC11_KanR	BAC43R75552	88.449	303	25	9	7423	7719	104342	104640	3.67e-95	357
pBeloBAC11_KanR	BAC43R75552	88.372	301	24	7	7251	7547	104515	104808	1.71e-93	351
pBeloBAC11_KanR	BAC43R75552	87.356	261	25	7	7465	7719	104341	104599	1.05e-75	292
pBeloBAC11_KanR	BAC43R75552	87.597	258	22	6	7250	7504	104558	104808	3.77e-75	291
pBeloBAC11_KanR	BAC43R75552	88.350	206	18	6	7508	7709	104341	104544	1.07e-60	243
pBeloBAC11_KanR	BAC43R75552	87.793	213	18	6	7250	7461	104603	104808	1.07e-60	243
pBeloBAC11_KanR	BAC43R75552	85.549	173	19	4	7250	7421	104644	104811	1.10e-40	176
pBeloBAC11_KanR	BAC43R75552	85.143	175	21	5	7551	7722	104341	104513	3.96e-40	174
pBeloBAC11_KanR	BAC43R80634	95.208	7095	102	171	1721	8761	68	6978	0.0	10999
pBeloBAC11_KanR	BAC43R80634	88.631	431	36	9	7294	7720	5495	5916	7.39e-142	512
pBeloBAC11_KanR	BAC43R80634	89.563	412	31	9	7268	7677	5557	5958	7.39e-142	512
pBeloBAC11_KanR	BAC43R80634	87.961	407	36	10	7250	7654	5583	5978	1.62e-128	468
pBeloBAC11_KanR	BAC43R80634	85.647	425	47	10	7321	7740	5478	5893	1.65e-118	435
pBeloBAC11_KanR	BAC43R80634	90.029	341	24	7	7250	7590	5627	5957	5.92e-118	433
pBeloBAC11_KanR	BAC43R80634	87.535	361	33	9	7364	7719	5478	5831	3.59e-110	407
pBeloBAC11_KanR	BAC43R80634	90.406	271	20	5	7277	7547	5693	5957	1.71e-93	351
pBeloBAC11_KanR	BAC43R80634	86.379	301	31	7	7423	7719	5495	5789	4.81e-84	320
pBeloBAC11_KanR	BAC43R80634	89.020	255	22	5	7250	7504	5709	5957	2.89e-81	311
pBeloBAC11_KanR	BAC43R80634	84.364	275	33	7	7450	7719	5478	5747	2.96e-66	261
pBeloBAC11_KanR	BAC43R80634	88.679	212	19	4	7250	7461	5751	5957	4.95e-64	254
pBeloBAC11_KanR	BAC43R80634	86.628	172	19	3	7250	7421	5793	5960	5.09e-44	187

